"source","target","type"
"Carter, Buddy (R-GA)","Frank, Barney (D-MA)","t1"
"Lindsey, Ed (R-GA)","Kanjorski, Paul E (D-PA)","t1"
"DeSantis, Ron (R-FL)","Scott, David (D-GA)","t1"
"Grooms, Larry (R-SC)","Maloney, Carolyn B (D-NY)","t1"
"Stutzman, Marlin (R-IN)","Jenkins, Lynn (R-KS)","t1"
"Terry, Lee (R-NE)","Moore, Dennis (D-KS)","t1"
"Moore, Gwen (D-WI)","Davis, Geoff (R-KY)","t1"
"Hultgren, Randy (R-IL)","Meek, Kendrick B (D-FL)","t1"
"Rothfus, Keith J (R-PA)","Bachus, Spencer (R-AL)","t1"
"Jolly, David (R-FL)","Gutierrez, Luis V (D-IL)","t1"
"Long, Billy (R-MO)","Frank, Barney (D-MA)","t1"
"Innis, Niger (R-NV)","Kanjorski, Paul E (D-PA)","t1"
"Schwarz, David (R-GA)","Scott, David (D-GA)","t1"
"Issa, Darrell (R-CA)","Maloney, Carolyn B (D-NY)","t1"
"Peters, Scott (D-CA)","Jenkins, Lynn (R-KS)","t1"
"Ratcliffe, John Lee (R-TX)","Moore, Dennis (D-KS)","t1"
"Smith, Jason (R-MO)","Davis, Geoff (R-KY)","t1"
"Brown, Corrine (D-FL)","Meek, Kendrick B (D-FL)","t1"
"Crisco, Keith (D-NC)","Bachus, Spencer (R-AL)","t1"
"Farenthold, Blake (R-TX)","Gutierrez, Luis V (D-IL)","t1"
"Sanford, Mark (R-SC)","Frank, Barney (D-MA)","t1"
"Demarco, Paul (R-AL)","Kanjorski, Paul E (D-PA)","t1"
"Ellison, Keith (D-MN)","Scott, David (D-GA)","t1"
"Garcia, Marilinda (R-NH)","Maloney, Carolyn B (D-NY)","t1"
"Hill, French (R-AR)","Jenkins, Lynn (R-KS)","t1"
"Hutchinson, Toi (D-IL)","Moore, Dennis (D-KS)","t1"
"Kim, Donna Mercado (D-HI)","Davis, Geoff (R-KY)","t1"
"McCarthy, Carolyn (D-NY)","Meek, Kendrick B (D-FL)","t1"
"McClintock, Tom (R-CA)","Bachus, Spencer (R-AL)","t1"
"Rahall, Nick (D-WV)","Gutierrez, Luis V (D-IL)","t1"
"Sinema, Kyrsten (D-AZ)","Frank, Barney (D-MA)","t1"
"Smith, Adrian (R-NE)","Kanjorski, Paul E (D-PA)","t1"
"Thornberry, Mac (R-TX)","Scott, David (D-GA)","t1"
"Veasey, Marc (D-TX)","Maloney, Carolyn B (D-NY)","t1"
"Vela, Filemon (D-TX)","Jenkins, Lynn (R-KS)","t1"
"Whitfield, Ed (R-KY)","Moore, Dennis (D-KS)","t1"
"Clyburn, James E (D-SC)","Davis, Geoff (R-KY)","t1"
"DelBene, Suzan (D-WA)","Meek, Kendrick B (D-FL)","t1"
"Margolies, Marjorie (D-PA)","Bachus, Spencer (R-AL)","t1"
"Patrick, Andy (R-SC)","Gutierrez, Luis V (D-IL)","t1"
"Tobin, Andy (R-AZ)","Frank, Barney (D-MA)","t1"
"Holding, George (R-NC)","Kanjorski, Paul E (D-PA)","t1"
"Kultala, Kelly (D-KS)","Scott, David (D-GA)","t1"
"Zinke, Ryan K (R-MT)","Maloney, Carolyn B (D-NY)","t1"
"Delaney, John K (D-MD)","Jenkins, Lynn (R-KS)","t1"
"Crenshaw, Ander  (R-FL)","Moore, Dennis (D-KS)","t1"
"Poliquin, Bruce (R-ME)","Davis, Geoff (R-KY)","t1"
"Graham, Gwen (D-FL)","Meek, Kendrick B (D-FL)","t1"
"Gowan, David (R-AZ)","Bachus, Spencer (R-AL)","t1"
"Rooney, Tom (R-FL)","Gutierrez, Luis V (D-IL)","t1"
"Hall, Isadore (D-CA)","Frank, Barney (D-MA)","t1"
"Thompson, Geraldine (D-FL)","Kanjorski, Paul E (D-PA)","t1"
"Adams, Boyce (R-MS)","Scott, David (D-GA)","t1"
"Correa, Lou (D-CA)","Maloney, Carolyn B (D-NY)","t1"
"Emmer, Tom (R-MN)","Jenkins, Lynn (R-KS)","t1"
"Peterson, Collin (D-MN)","Moore, Dennis (D-KS)","t1"
"Soto, Darren (D-FL)","Davis, Geoff (R-KY)","t1"
"Zoeller, Gregory (R-IN)","Meek, Kendrick B (D-FL)","t1"
"LaMalfa, Doug (R-CA)","Bachus, Spencer (R-AL)","t1"
"Messer, Luke (R-IN)","Gutierrez, Luis V (D-IL)","t1"
"Rokita, Todd (R-IN)","Frank, Barney (D-MA)","t1"
"Zeldin, Lee (R-NY)","Kanjorski, Paul E (D-PA)","t1"
"Bishop, Rob (R-UT)","Scott, David (D-GA)","t1"
"Curbelo, Carlos (R-FL)","Maloney, Carolyn B (D-NY)","t1"
"Faso, John (R-NY)","Jenkins, Lynn (R-KS)","t1"
"Grabelle, Justin (R-FL)","Moore, Dennis (D-KS)","t1"
"Kelsey, Brian (R-TN)","Davis, Geoff (R-KY)","t1"
"Walden, Greg (R-OR)","Meek, Kendrick B (D-FL)","t1"
"Cullerton, Tom (D-IL)","Bachus, Spencer (R-AL)","t1"
"Johnson, Tim (D-SD)","Dodd, Chris (D-CT)","t2"
"Dodd, Chris (D-CT)","Shelby, Richard C (R-AL)","t2"
"Shelby, Richard C (R-AL)","Reid, Harry (D-NV)","t2"
"Reid, Harry (D-NV)","McConnell, Mitch (R-KY)","t2"
"McConnell, Mitch (R-KY)","Corker, Bob (R-TN)","t2"
"Corker, Bob (R-TN)","Risch, James E (R-ID)","t2"
"Risch, James E (R-ID)","Alexander, Lamar (R-TN)","t2"
"Alexander, Lamar (R-TN)","Roberts, Pat (R-KS)","t2"
"Roberts, Pat (R-KS)","Pryor, Mark (D-AR)","t2"
"Pryor, Mark (D-AR)","Johnson, Tim (D-SD)","t2"
"Warner, Mark (D-VA)","Dodd, Chris (D-CT)","t2"
"Isakson, Johnny (R-GA)","Shelby, Richard C (R-AL)","t2"
"Clinton, Hillary (D-NY)","Reid, Harry (D-NV)","t2"
"McCaskill, Claire (D-MO)","McConnell, Mitch (R-KY)","t2"
"Graham, Lindsey (R-SC)","Corker, Bob (R-TN)","t2"
"Chambliss, Saxby (R-GA)","Risch, James E (R-ID)","t2"
"DeMint, Jim (R-SC)","Alexander, Lamar (R-TN)","t2"
"Vitter, David (R-LA)","Roberts, Pat (R-KS)","t2"
"Thune, John (R-SD)","Pryor, Mark (D-AR)","t2"
"Landrieu, Mary L (D-LA)","Johnson, Tim (D-SD)","t2"
"Tester, Jon (D-MT)","Dodd, Chris (D-CT)","t2"
"Brown, Sherrod (D-OH)","Shelby, Richard C (R-AL)","t2"
"Carper, Tom (D-DE)","Reid, Harry (D-NV)","t2"
"Murray, Patty (D-WA)","McConnell, Mitch (R-KY)","t2"
"Grassley, Chuck (R-IA)","Corker, Bob (R-TN)","t2"
"Stabenow, Debbie (D-MI)","Risch, James E (R-ID)","t2"
"Murkowski, Lisa (R-AK)","Alexander, Lamar (R-TN)","t2"
"Crapo, Mike (R-ID)","Roberts, Pat (R-KS)","t2"
"Enzi, Mike (R-WY)","Pryor, Mark (D-AR)","t2"
"Kennedy, John (R-LA)","Johnson, Tim (D-SD)","t2"
"Bayh, Evan (D-IN)","Dodd, Chris (D-CT)","t2"
"Udall, Tom (D-NM)","Shelby, Richard C (R-AL)","t2"
"Jones, Elizabeth Ames (R-TX)","Reid, Harry (D-NV)","t2"
"Musgrove, Ronnie (D-MS)","McConnell, Mitch (R-KY)","t2"
"Baucus, Max (D-MT)","Corker, Bob (R-TN)","t2"
"Harkin, Tom (D-IA)","Risch, James E (R-ID)","t2"
"Lautenberg, Frank (D-NJ)","Alexander, Lamar (R-TN)","t2"
"Brownback, Sam (R-KS)","Roberts, Pat (R-KS)","t2"
"Casey, Bob (D-PA)","Pryor, Mark (D-AR)","t2"
"Coleman, Norm (R-MN)","Johnson, Tim (D-SD)","t2"
"Cornyn, John (R-TX)","Dodd, Chris (D-CT)","t2"
"Dole, Elizabeth (R-NC)","Shelby, Richard C (R-AL)","t2"
"Inhofe, James M (R-OK)","Reid, Harry (D-NV)","t2"
"Lincoln, Blanche (D-AR)","McConnell, Mitch (R-KY)","t2"
"Pearce, Steve (R-NM)","Corker, Bob (R-TN)","t2"
"Schaffer, Bob (R-CO)","Risch, James E (R-ID)","t2"
"Smith, Gordon H (R-OR)","Alexander, Lamar (R-TN)","t2"
"Specter, Arlen (R-PA)","Roberts, Pat (R-KS)","t2"
"Wicker, Roger (R-MS)","Pryor, Mark (D-AR)","t2"
"Franken, Al (D-MN)","Johnson, Tim (D-SD)","t2"
"Tuke, Robert Dudley (D-TN)","Dodd, Chris (D-CT)","t2"
"Conway, Jack (D-KY)","Shelby, Richard C (R-AL)","t2"
"Crist, Charlie (I-FL)","Reid, Harry (D-NV)","t2"
"Rossi, Dino (R-WA)","McConnell, Mitch (R-KY)","t2"
"Blunt, Roy (R-MO)","Corker, Bob (R-TN)","t2"
"Benton, Don (R-WA)","Risch, James E (R-ID)","t2"
"Lee, Mike (R-UT)","Alexander, Lamar (R-TN)","t2"
"Kirk, Mark (R-IL)","Roberts, Pat (R-KS)","t2"
"Gillibrand, Kirsten (D-NY)","Pryor, Mark (D-AR)","t2"
"Nelson, Ben (D-NE)","Johnson, Tim (D-SD)","t2"
"Manchin, Joe (D-WV)","Dodd, Chris (D-CT)","t2"
"Toomey, Pat (R-PA)","Shelby, Richard C (R-AL)","t2"
"Bennett, Robert F (R-UT)","Reid, Harry (D-NV)","t2"
"Buck, Kenneth R (R-CO)","McConnell, Mitch (R-KY)","t2"
"Bennet, Michael F (D-CO)","Corker, Bob (R-TN)","t2"
"Brown, Scott (R-MA)","Risch, James E (R-ID)","t2"
"Moran, Jerry (R-KS)","Alexander, Lamar (R-TN)","t2"
"Rubio, Marco (R-FL)","Roberts, Pat (R-KS)","t2"
"Johanns, Mike (R-NE)","Pryor, Mark (D-AR)","t2"
"Ayotte, Kelly (R-NH)","Johnson, Tim (D-SD)","t2"
"Coats, Dan (R-IN)","Dodd, Chris (D-CT)","t2"
"Hatch, Orrin G (R-UT)","Shelby, Richard C (R-AL)","t2"
"Miller, Joe (R-AK)","Reid, Harry (D-NV)","t2"
"Bridgewater, Tim (R-UT)","McConnell, Mitch (R-KY)","t2"
"Williams, Roger (R-TX)","Corker, Bob (R-TN)","t2"
"Burr, Richard (R-NC)","Risch, James E (R-ID)","t2"
"Carnahan, Robin (D-MO)","Alexander, Lamar (R-TN)","t2"
"Castle, Michael N (R-DE)","Roberts, Pat (R-KS)","t2"
"Coburn, Tom (R-OK)","Pryor, Mark (D-AR)","t2"
"Dorgan, Byron L (D-ND)","Johnson, Tim (D-SD)","t2"
"O'Donnell, Christine (R-DE)","Dodd, Chris (D-CT)","t2"
"Portman, Rob (R-OH)","Shelby, Richard C (R-AL)","t2"
"Shaheen, Jeanne (D-NH)","Reid, Harry (D-NV)","t2"
"Udall, Mark (D-CO)","McConnell, Mitch (R-KY)","t2"
"Angle, Sharron (R-NV)","Corker, Bob (R-TN)","t2"
"Menendez, Robert (D-NJ)","Risch, James E (R-ID)","t2"
"Dewhurst, David H (R-TX)","Alexander, Lamar (R-TN)","t2"
"Mandel, Josh (R-OH)","Roberts, Pat (R-KS)","t2"
"Wilson, Heather A (R-NM)","Pryor, Mark (D-AR)","t2"
"Allen, George (R-VA)","Johnson, Tim (D-SD)","t2"
"Barrasso, John A (R-WY)","Dodd, Chris (D-CT)","t2"
"Bruning, Jon (R-NE)","Shelby, Richard C (R-AL)","t2"
"Haridopolos, Mike (R-FL)","Reid, Harry (D-NV)","t2"
"Warren, Elizabeth (D-MA)","McConnell, Mitch (R-KY)","t2"
"Boozman, John (R-AR)","Corker, Bob (R-TN)","t2"
"Mourdock, Richard E (R-IN)","Risch, James E (R-ID)","t2"
"Rehberg, Denny (R-MT)","Alexander, Lamar (R-TN)","t2"
"Fitzgerald, Jeff (R-WI)","Roberts, Pat (R-KS)","t2"
"Lugar, Richard G (R-IN)","Pryor, Mark (D-AR)","t2"
"Thompson, Tommy G (R-WI)","Johnson, Tim (D-SD)","t2"
"Akin, Todd (R-MO)","Dodd, Chris (D-CT)","t2"
"Nelson, Bill (D-FL)","Shelby, Richard C (R-AL)","t2"
"Lingle, Linda (R-HI)","Reid, Harry (D-NV)","t2"
"Hagan, Kay R (D-NC)","McConnell, Mitch (R-KY)","t2"
"Herrod, Chris (R-UT)","Corker, Bob (R-TN)","t2"
"Lemieux, George S (R-FL)","Risch, James E (R-ID)","t2"
"McMahon, Linda (R-CT)","Alexander, Lamar (R-TN)","t2"
"Steelman, Sarah H (R-MO)","Roberts, Pat (R-KS)","t2"
"Heinrich, Martin (D-NM)","Pryor, Mark (D-AR)","t2"
"Cruz, Ted (R-TX)","Johnson, Tim (D-SD)","t2"
"Balderas, Hector (D-NM)","Dodd, Chris (D-CT)","t2"
"Hirono, Mazie K (D-HI)","Shelby, Richard C (R-AL)","t2"
"Kingston, Jack (R-GA)","Reid, Harry (D-NV)","t2"
"Cotton, Tom (R-AR)","McConnell, Mitch (R-KY)","t2"
"Schatz, Brian (D-HI)","Corker, Bob (R-TN)","t2"
"Perdue, David (R-GA)","Risch, James E (R-ID)","t2"
"Tillis, Thom (R-NC)","Alexander, Lamar (R-TN)","t2"
"Handel, Karen (R-GA)","Roberts, Pat (R-KS)","t2"
"Shannon, T W (R-OK)","Pryor, Mark (D-AR)","t2"
"Daines, Steven (R-MT)","Johnson, Tim (D-SD)","t2"
"Fischer, Deb (R-NE)","Dodd, Chris (D-CT)","t2"
"Sessions, Jeff (R-AL)","Shelby, Richard C (R-AL)","t2"
"Paul, Rand (R-KY)","Reid, Harry (D-NV)","t2"
"Heitkamp, Heidi (D-ND)","McConnell, Mitch (R-KY)","t2"
"McFadden, Mike (R-MN)","Corker, Bob (R-TN)","t2"
"Johnson, Ron (R-WI)","Risch, James E (R-ID)","t2"
"Rounds, Mike (R-SD)","Alexander, Lamar (R-TN)","t2"
"Whitaker, Matt (R-IA)","Roberts, Pat (R-KS)","t2"
"Sasse, Ben (R-NE)","Pryor, Mark (D-AR)","t2"
"Zopp, Andrea (D-IL)","Johnson, Tim (D-SD)","t2"
"McCain, John (R)","Obama, Barack (D)","t3"
"Obama, Barack (D)","Obama, Barack (D)","t3"
"Richardson, Bill (D)","Obama, Barack (D)","t3"
"Romney, Mitt (R)","Obama, Barack (D)","t3"
"Thompson, Fred (R)","Obama, Barack (D)","t3"
"Giuliani, Rudolph W (R)","Obama, Barack (D)","t3"
"Edwards, John (D)","Obama, Barack (D)","t3"
"Perry, Rick (R)","Obama, Barack (D)","t3"
"Gingrich, Newt (R)","Obama, Barack (D)","t3"
"Santorum, Rick (R)","Obama, Barack (D)","t3"
"Pawlenty, Tim (R)","Obama, Barack (D)","t3"
"Bush, Jeb (R)","Obama, Barack (D)","t3"
"Kasich, John (R)","Obama, Barack (D)","t3"
"Fiorina, Carly (R)","Obama, Barack (D)","t3"
"Sanders, Bernie (D)","Obama, Barack (D)","t3"
"Pierluisi, Pedro (3-PR)","Pierluisi, Pedro (3-PR)","t4"
